study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_bytes	fastq_ftp	submitted_ftp	sra_bytes	sra_ftp
PRJNA208535	SAMN06600015	SRX2638935	SRR5342261	1632839	human vaginal metagenome	1259757;2240544	ftp.sra.ebi.ac.uk/vol1/fastq/SRR534/001/SRR5342261/SRR5342261_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR534/001/SRR5342261/SRR5342261_2.fastq.gz		6490628	ftp.sra.ebi.ac.uk/vol1/srr/SRR534/001/SRR5342261
PRJNA208535	SAMN06600014	SRX2638936	SRR5342262	1632839	human vaginal metagenome	69627;86294	ftp.sra.ebi.ac.uk/vol1/fastq/SRR534/002/SRR5342262/SRR5342262_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR534/002/SRR5342262/SRR5342262_2.fastq.gz		339615	ftp.sra.ebi.ac.uk/vol1/srr/SRR534/002/SRR5342262
PRJNA208535	SAMN06600013	SRX2638937	SRR5342263	1632839	human vaginal metagenome	934600;1149103	ftp.sra.ebi.ac.uk/vol1/fastq/SRR534/003/SRR5342263/SRR5342263_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR534/003/SRR5342263/SRR5342263_2.fastq.gz		3899916	ftp.sra.ebi.ac.uk/vol1/srr/SRR534/003/SRR5342263
PRJNA208535	SAMN06600012	SRX2638938	SRR5342264	1632839	human vaginal metagenome	510505;655754	ftp.sra.ebi.ac.uk/vol1/fastq/SRR534/004/SRR5342264/SRR5342264_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR534/004/SRR5342264/SRR5342264_2.fastq.gz		2119816	ftp.sra.ebi.ac.uk/vol1/srr/SRR534/004/SRR5342264
PRJNA208535	SAMN06600011	SRX2638939	SRR5342265	1632839	human vaginal metagenome	76265;92319	ftp.sra.ebi.ac.uk/vol1/fastq/SRR534/005/SRR5342265/SRR5342265_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR534/005/SRR5342265/SRR5342265_2.fastq.gz		343924	ftp.sra.ebi.ac.uk/vol1/srr/SRR534/005/SRR5342265
PRJNA208535	SAMN06600010	SRX2638940	SRR5342266	1632839	human vaginal metagenome	1018050;1132739	ftp.sra.ebi.ac.uk/vol1/fastq/SRR534/006/SRR5342266/SRR5342266_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR534/006/SRR5342266/SRR5342266_2.fastq.gz		3563605	ftp.sra.ebi.ac.uk/vol1/srr/SRR534/006/SRR5342266
PRJNA208535	SAMN06600009	SRX2638941	SRR5342267	1632839	human vaginal metagenome	106914;110017	ftp.sra.ebi.ac.uk/vol1/fastq/SRR534/007/SRR5342267/SRR5342267_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR534/007/SRR5342267/SRR5342267_2.fastq.gz		417048	ftp.sra.ebi.ac.uk/vol1/srr/SRR534/007/SRR5342267
PRJNA208535	SAMN06600008	SRX2638942	SRR5342268	1632839	human vaginal metagenome	951993;1185666	ftp.sra.ebi.ac.uk/vol1/fastq/SRR534/008/SRR5342268/SRR5342268_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR534/008/SRR5342268/SRR5342268_2.fastq.gz		3812108	ftp.sra.ebi.ac.uk/vol1/srr/SRR534/008/SRR5342268
PRJNA208535	SAMN06600007	SRX2638943	SRR5342269	1632839	human vaginal metagenome	1015557;1382014	ftp.sra.ebi.ac.uk/vol1/fastq/SRR534/009/SRR5342269/SRR5342269_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR534/009/SRR5342269/SRR5342269_2.fastq.gz		3591206	ftp.sra.ebi.ac.uk/vol1/srr/SRR534/009/SRR5342269
PRJNA208535	SAMN06600006	SRX2638944	SRR5342270	1632839	human vaginal metagenome	28325216;51083;51607	ftp.sra.ebi.ac.uk/vol1/fastq/SRR534/000/SRR5342270/SRR5342270.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR534/000/SRR5342270/SRR5342270_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR534/000/SRR5342270/SRR5342270_2.fastq.gz		43691413	ftp.sra.ebi.ac.uk/vol1/srr/SRR534/000/SRR5342270
PRJNA208535	SAMN06600005	SRX2638945	SRR5342271	1632839	human vaginal metagenome	51450059;146409;153453	ftp.sra.ebi.ac.uk/vol1/fastq/SRR534/001/SRR5342271/SRR5342271.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR534/001/SRR5342271/SRR5342271_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR534/001/SRR5342271/SRR5342271_2.fastq.gz		78039031	ftp.sra.ebi.ac.uk/vol1/srr/SRR534/001/SRR5342271
PRJNA208535	SAMN06600004	SRX2638946	SRR5342272	1632839	human vaginal metagenome	43232717;107522;104987	ftp.sra.ebi.ac.uk/vol1/fastq/SRR534/002/SRR5342272/SRR5342272.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR534/002/SRR5342272/SRR5342272_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR534/002/SRR5342272/SRR5342272_2.fastq.gz		65655016	ftp.sra.ebi.ac.uk/vol1/srr/SRR534/002/SRR5342272
PRJNA208535	SAMN06600003	SRX2638947	SRR5342273	1632839	human vaginal metagenome	252640;324158	ftp.sra.ebi.ac.uk/vol1/fastq/SRR534/003/SRR5342273/SRR5342273_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR534/003/SRR5342273/SRR5342273_2.fastq.gz		1116928	ftp.sra.ebi.ac.uk/vol1/srr/SRR534/003/SRR5342273
PRJNA208535	SAMN06600002	SRX2638948	SRR5342274	1632839	human vaginal metagenome	64411;86850	ftp.sra.ebi.ac.uk/vol1/fastq/SRR534/004/SRR5342274/SRR5342274_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR534/004/SRR5342274/SRR5342274_2.fastq.gz		327631	ftp.sra.ebi.ac.uk/vol1/srr/SRR534/004/SRR5342274
PRJNA208535	SAMN06600001	SRX2638949	SRR5342275	1632839	human vaginal metagenome	1008216;1222854	ftp.sra.ebi.ac.uk/vol1/fastq/SRR534/005/SRR5342275/SRR5342275_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR534/005/SRR5342275/SRR5342275_2.fastq.gz		4128498	ftp.sra.ebi.ac.uk/vol1/srr/SRR534/005/SRR5342275
PRJNA208535	SAMN06600000	SRX2638950	SRR5342276	1632839	human vaginal metagenome	751890;1078939	ftp.sra.ebi.ac.uk/vol1/fastq/SRR534/006/SRR5342276/SRR5342276_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR534/006/SRR5342276/SRR5342276_2.fastq.gz		3012718	ftp.sra.ebi.ac.uk/vol1/srr/SRR534/006/SRR5342276
PRJNA208535	SAMN06599999	SRX2638951	SRR5342277	1632839	human vaginal metagenome	463501;486357	ftp.sra.ebi.ac.uk/vol1/fastq/SRR534/007/SRR5342277/SRR5342277_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR534/007/SRR5342277/SRR5342277_2.fastq.gz		1769609	ftp.sra.ebi.ac.uk/vol1/srr/SRR534/007/SRR5342277
PRJNA208535	SAMN06599998	SRX2638952	SRR5342278	1632839	human vaginal metagenome	1348628;1513332	ftp.sra.ebi.ac.uk/vol1/fastq/SRR534/008/SRR5342278/SRR5342278_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR534/008/SRR5342278/SRR5342278_2.fastq.gz		4773175	ftp.sra.ebi.ac.uk/vol1/srr/SRR534/008/SRR5342278
PRJNA208535	SAMN06599997	SRX2638953	SRR5342279	1632839	human vaginal metagenome	12325278;10550;11179	ftp.sra.ebi.ac.uk/vol1/fastq/SRR534/009/SRR5342279/SRR5342279.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR534/009/SRR5342279/SRR5342279_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR534/009/SRR5342279/SRR5342279_2.fastq.gz		18943490	ftp.sra.ebi.ac.uk/vol1/srr/SRR534/009/SRR5342279
PRJNA208535	SAMN06599996	SRX2638954	SRR5342280	1632839	human vaginal metagenome	26949295;42381;42287	ftp.sra.ebi.ac.uk/vol1/fastq/SRR534/000/SRR5342280/SRR5342280.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR534/000/SRR5342280/SRR5342280_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR534/000/SRR5342280/SRR5342280_2.fastq.gz		41255163	ftp.sra.ebi.ac.uk/vol1/srr/SRR534/000/SRR5342280
PRJNA208535	SAMN06599995	SRX2638955	SRR5342281	1632839	human vaginal metagenome	49838560;136440;146476	ftp.sra.ebi.ac.uk/vol1/fastq/SRR534/001/SRR5342281/SRR5342281.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR534/001/SRR5342281/SRR5342281_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR534/001/SRR5342281/SRR5342281_2.fastq.gz		75497977	ftp.sra.ebi.ac.uk/vol1/srr/SRR534/001/SRR5342281
PRJNA208535	SAMN06599994	SRX2638956	SRR5342282	1632839	human vaginal metagenome	52070947;168646;165237	ftp.sra.ebi.ac.uk/vol1/fastq/SRR534/002/SRR5342282/SRR5342282.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR534/002/SRR5342282/SRR5342282_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR534/002/SRR5342282/SRR5342282_2.fastq.gz		80202822	ftp.sra.ebi.ac.uk/vol1/srr/SRR534/002/SRR5342282
PRJNA208535	SAMN06599993	SRX2638957	SRR5342283	1632839	human vaginal metagenome	49873480;149935;146554	ftp.sra.ebi.ac.uk/vol1/fastq/SRR534/003/SRR5342283/SRR5342283.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR534/003/SRR5342283/SRR5342283_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR534/003/SRR5342283/SRR5342283_2.fastq.gz		76258872	ftp.sra.ebi.ac.uk/vol1/srr/SRR534/003/SRR5342283
PRJNA208535	SAMN06599992	SRX2638958	SRR5342284	1632839	human vaginal metagenome	51874894;151287;166135	ftp.sra.ebi.ac.uk/vol1/fastq/SRR534/004/SRR5342284/SRR5342284.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR534/004/SRR5342284/SRR5342284_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR534/004/SRR5342284/SRR5342284_2.fastq.gz		80524665	ftp.sra.ebi.ac.uk/vol1/srr/SRR534/004/SRR5342284
PRJNA208535	SAMN06599991	SRX2638959	SRR5342285	1632839	human vaginal metagenome	19103070;26302;25515	ftp.sra.ebi.ac.uk/vol1/fastq/SRR534/005/SRR5342285/SRR5342285.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR534/005/SRR5342285/SRR5342285_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR534/005/SRR5342285/SRR5342285_2.fastq.gz		27866557	ftp.sra.ebi.ac.uk/vol1/srr/SRR534/005/SRR5342285
PRJNA208535	SAMN06599990	SRX2638960	SRR5342286	1632839	human vaginal metagenome	14264111;14618;13968	ftp.sra.ebi.ac.uk/vol1/fastq/SRR534/006/SRR5342286/SRR5342286.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR534/006/SRR5342286/SRR5342286_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR534/006/SRR5342286/SRR5342286_2.fastq.gz		22632557	ftp.sra.ebi.ac.uk/vol1/srr/SRR534/006/SRR5342286
PRJNA208535	SAMN06599989	SRX2638961	SRR5342287	1632839	human vaginal metagenome	609311;1040680	ftp.sra.ebi.ac.uk/vol1/fastq/SRR534/007/SRR5342287/SRR5342287_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR534/007/SRR5342287/SRR5342287_2.fastq.gz		2895107	ftp.sra.ebi.ac.uk/vol1/srr/SRR534/007/SRR5342287
PRJNA208535	SAMN06599988	SRX2638962	SRR5342288	1632839	human vaginal metagenome	1369372;2213722	ftp.sra.ebi.ac.uk/vol1/fastq/SRR534/008/SRR5342288/SRR5342288_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR534/008/SRR5342288/SRR5342288_2.fastq.gz		6351532	ftp.sra.ebi.ac.uk/vol1/srr/SRR534/008/SRR5342288
PRJNA208535	SAMN06599987	SRX2638963	SRR5342289	1632839	human vaginal metagenome	1101088;1773988	ftp.sra.ebi.ac.uk/vol1/fastq/SRR534/009/SRR5342289/SRR5342289_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR534/009/SRR5342289/SRR5342289_2.fastq.gz		5071954	ftp.sra.ebi.ac.uk/vol1/srr/SRR534/009/SRR5342289
PRJNA208535	SAMN06599986	SRX2638965	SRR5342290	1632839	human vaginal metagenome	9238711;99650;107630	ftp.sra.ebi.ac.uk/vol1/fastq/SRR534/000/SRR5342290/SRR5342290.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR534/000/SRR5342290/SRR5342290_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR534/000/SRR5342290/SRR5342290_2.fastq.gz		17251113	ftp.sra.ebi.ac.uk/vol1/srr/SRR534/000/SRR5342290
PRJNA208535	SAMN06599985	SRX2638966	SRR5342291	1632839	human vaginal metagenome	663309;900186	ftp.sra.ebi.ac.uk/vol1/fastq/SRR534/001/SRR5342291/SRR5342291_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR534/001/SRR5342291/SRR5342291_2.fastq.gz		2649200	ftp.sra.ebi.ac.uk/vol1/srr/SRR534/001/SRR5342291
PRJNA208535	SAMN06599984	SRX2638967	SRR5342292	1632839	human vaginal metagenome	456358;771174	ftp.sra.ebi.ac.uk/vol1/fastq/SRR534/002/SRR5342292/SRR5342292_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR534/002/SRR5342292/SRR5342292_2.fastq.gz		2153966	ftp.sra.ebi.ac.uk/vol1/srr/SRR534/002/SRR5342292
PRJNA208535	SAMN06599983	SRX2638968	SRR5342293	1632839	human vaginal metagenome	740958;1077225	ftp.sra.ebi.ac.uk/vol1/fastq/SRR534/003/SRR5342293/SRR5342293_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR534/003/SRR5342293/SRR5342293_2.fastq.gz		3083979	ftp.sra.ebi.ac.uk/vol1/srr/SRR534/003/SRR5342293
PRJNA208535	SAMN06599982	SRX2638969	SRR5342294	1632839	human vaginal metagenome	9091116;100276;109084	ftp.sra.ebi.ac.uk/vol1/fastq/SRR534/004/SRR5342294/SRR5342294.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR534/004/SRR5342294/SRR5342294_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR534/004/SRR5342294/SRR5342294_2.fastq.gz		16877199	ftp.sra.ebi.ac.uk/vol1/srr/SRR534/004/SRR5342294
PRJNA208535	SAMN06599981	SRX2638970	SRR5342295	1632839	human vaginal metagenome	1543765;2306473	ftp.sra.ebi.ac.uk/vol1/fastq/SRR534/005/SRR5342295/SRR5342295_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR534/005/SRR5342295/SRR5342295_2.fastq.gz		6474827	ftp.sra.ebi.ac.uk/vol1/srr/SRR534/005/SRR5342295
PRJNA208535	SAMN06599980	SRX2638971	SRR5342296	1632839	human vaginal metagenome	540546;543110	ftp.sra.ebi.ac.uk/vol1/fastq/SRR534/006/SRR5342296/SRR5342296_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR534/006/SRR5342296/SRR5342296_2.fastq.gz		1880599	ftp.sra.ebi.ac.uk/vol1/srr/SRR534/006/SRR5342296
PRJNA208535	SAMN06599979	SRX2638972	SRR5342297	1632839	human vaginal metagenome	419947;547141	ftp.sra.ebi.ac.uk/vol1/fastq/SRR534/007/SRR5342297/SRR5342297_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR534/007/SRR5342297/SRR5342297_2.fastq.gz		1843297	ftp.sra.ebi.ac.uk/vol1/srr/SRR534/007/SRR5342297
PRJNA208535	SAMN06599978	SRX2638973	SRR5342298	1632839	human vaginal metagenome	1240108;1401125	ftp.sra.ebi.ac.uk/vol1/fastq/SRR534/008/SRR5342298/SRR5342298_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR534/008/SRR5342298/SRR5342298_2.fastq.gz		4726326	ftp.sra.ebi.ac.uk/vol1/srr/SRR534/008/SRR5342298
PRJNA208535	SAMN06599977	SRX2638974	SRR5342299	1632839	human vaginal metagenome	675832;845188	ftp.sra.ebi.ac.uk/vol1/fastq/SRR534/009/SRR5342299/SRR5342299_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR534/009/SRR5342299/SRR5342299_2.fastq.gz		2675180	ftp.sra.ebi.ac.uk/vol1/srr/SRR534/009/SRR5342299
